Date,Open,High,Low,Close,Adj Close,Volume
2021-03-30,215500.000000,221000.000000,215000.000000,219500.000000,218589.218750,935840
2021-03-31,221500.000000,222000.000000,218000.000000,218000.000000,217095.437500,750876
2021-04-01,220500.000000,224500.000000,218500.000000,219000.000000,218091.281250,749450
2021-04-02,225500.000000,238500.000000,225000.000000,233500.000000,232531.125000,3648528
2021-04-05,236000.000000,236500.000000,230000.000000,234000.000000,233029.046875,990184
2021-04-06,235000.000000,235000.000000,229500.000000,230000.000000,229045.640625,737694
2021-04-07,228500.000000,232500.000000,226500.000000,230000.000000,229045.640625,708886
2021-04-08,229000.000000,233500.000000,227000.000000,231500.000000,230539.421875,915323
2021-04-09,231500.000000,232000.000000,227000.000000,228500.000000,227551.875000,726250
2021-04-12,228000.000000,229000.000000,225500.000000,226000.000000,225062.234375,659014
2021-04-13,226500.000000,230000.000000,226000.000000,230000.000000,229045.640625,634607
2021-04-14,231000.000000,237000.000000,230500.000000,232500.000000,231535.265625,940909
2021-04-15,232500.000000,232500.000000,229000.000000,230500.000000,229543.562500,555364
2021-04-16,231500.000000,233500.000000,230500.000000,231500.000000,230539.421875,577562
2021-04-19,232000.000000,232500.000000,229000.000000,230000.000000,229045.640625,715867
2021-04-20,230000.000000,231000.000000,228500.000000,229000.000000,228049.796875,722449
2021-04-21,227500.000000,228000.000000,224000.000000,225500.000000,224564.312500,848076
2021-04-22,226500.000000,231000.000000,225500.000000,226000.000000,225062.234375,1025922
2021-04-23,225500.000000,225500.000000,220500.000000,221000.000000,220082.984375,1202196
2021-04-26,221500.000000,222500.000000,220000.000000,221500.000000,220580.906250,653982
2021-04-27,222000.000000,222500.000000,218000.000000,220000.000000,219087.140625,763634
2021-04-28,220000.000000,223500.000000,219500.000000,221500.000000,220580.906250,701452
2021-04-29,221000.000000,221500.000000,217000.000000,217500.000000,216597.515625,1047837
2021-04-30,216000.000000,216500.000000,211000.000000,212000.000000,211120.328125,1168115
2021-05-03,212000.000000,222500.000000,211000.000000,218000.000000,217095.437500,1189242
2021-05-04,220000.000000,224500.000000,217500.000000,223500.000000,222572.609375,953550
2021-05-06,223000.000000,225000.000000,221000.000000,223500.000000,222572.609375,645594
2021-05-07,223500.000000,227000.000000,221000.000000,224000.000000,223070.546875,639489
2021-05-10,226500.000000,230000.000000,225500.000000,229500.000000,228547.718750,1117219
2021-05-11,227000.000000,228500.000000,223500.000000,226500.000000,225560.171875,852825
2021-05-12,226500.000000,233000.000000,223000.000000,227500.000000,226556.015625,1649500
2021-05-13,224000.000000,232000.000000,221500.000000,229500.000000,228547.718750,1593554
2021-05-14,234000.000000,236000.000000,226500.000000,229000.000000,228049.796875,1357407
2021-05-17,232000.000000,232500.000000,225000.000000,227000.000000,226058.093750,875528
2021-05-18,227500.000000,232500.000000,226000.000000,231000.000000,230041.500000,1034501
2021-05-20,228500.000000,230500.000000,224000.000000,224500.000000,223568.468750,1190072
2021-05-21,227000.000000,233000.000000,225500.000000,227500.000000,226556.015625,1333704
2021-05-24,227500.000000,231000.000000,226000.000000,228000.000000,227053.937500,765657
2021-05-25,230000.000000,230000.000000,225000.000000,227500.000000,226556.015625,781950
2021-05-26,227500.000000,229000.000000,222500.000000,223500.000000,222572.609375,1088210
2021-05-27,223000.000000,223500.000000,220000.000000,220500.000000,219585.062500,2306997
2021-05-28,223500.000000,232500.000000,223000.000000,232000.000000,231037.343750,2394356
2021-05-31,233000.000000,235500.000000,230500.000000,235000.000000,234024.890625,1132711
2021-06-01,235000.000000,237500.000000,232500.000000,237000.000000,236016.593750,1027141
2021-06-02,238500.000000,243000.000000,235500.000000,238000.000000,237012.453125,1707167
2021-06-03,238500.000000,240500.000000,236500.000000,238500.000000,237510.375000,1034103
2021-06-04,241500.000000,243000.000000,238000.000000,241500.000000,240497.921875,1333789
2021-06-07,244500.000000,247500.000000,240500.000000,241500.000000,240497.921875,1343895
2021-06-08,241500.000000,245000.000000,238500.000000,243500.000000,242489.625000,875362
2021-06-09,243000.000000,245500.000000,239000.000000,239500.000000,238506.218750,941037
2021-06-10,239000.000000,240000.000000,236000.000000,236000.000000,235020.750000,1094346
2021-06-11,237500.000000,241500.000000,237000.000000,238500.000000,237510.375000,687536
2021-06-14,238500.000000,240000.000000,235000.000000,238000.000000,237012.453125,561560
2021-06-15,238000.000000,239000.000000,235500.000000,237000.000000,236016.593750,471192
2021-06-16,237000.000000,243000.000000,237000.000000,239500.000000,238506.218750,778322
2021-06-17,239000.000000,239500.000000,236000.000000,236500.000000,235518.671875,724881
2021-06-18,237000.000000,238000.000000,235000.000000,235000.000000,234024.890625,1036077
2021-06-21,234000.000000,236000.000000,232000.000000,233000.000000,232033.187500,823355
2021-06-22,235500.000000,243000.000000,235000.000000,241000.000000,240000.000000,1299242
2021-06-23,242000.000000,243000.000000,239000.000000,242500.000000,241493.781250,843399
2021-06-24,243500.000000,249000.000000,241000.000000,242500.000000,241493.781250,1494131
2021-06-25,243500.000000,244000.000000,241000.000000,243000.000000,241991.703125,537893
2021-06-28,244000.000000,244500.000000,240000.000000,241000.000000,240000.000000,575102
2021-06-29,240500.000000,242500.000000,239000.000000,239500.000000,239500.000000,627915
2021-06-30,240000.000000,241000.000000,238500.000000,239500.000000,239500.000000,653096
2021-07-01,238500.000000,243000.000000,236000.000000,242000.000000,242000.000000,1031692
2021-07-02,243500.000000,243500.000000,239000.000000,239000.000000,239000.000000,829518
2021-07-05,239000.000000,240000.000000,235000.000000,236000.000000,236000.000000,861912
2021-07-06,236500.000000,238000.000000,235500.000000,236000.000000,236000.000000,497009
2021-07-07,235000.000000,235500.000000,232000.000000,232000.000000,232000.000000,1122107
2021-07-08,232000.000000,233000.000000,229000.000000,229500.000000,229500.000000,1241792
2021-07-09,227500.000000,229000.000000,225000.000000,226000.000000,226000.000000,1137429
2021-07-12,229000.000000,232000.000000,228000.000000,230000.000000,230000.000000,529258
2021-07-13,230000.000000,231500.000000,229000.000000,230000.000000,230000.000000,518563
2021-07-14,230500.000000,232500.000000,228500.000000,230000.000000,230000.000000,582990
2021-07-15,230000.000000,232500.000000,229500.000000,231500.000000,231500.000000,546166
2021-07-16,230000.000000,230500.000000,228000.000000,230000.000000,230000.000000,468595
2021-07-19,228000.000000,228500.000000,227000.000000,227500.000000,227500.000000,432339
