Date,Open,High,Low,Close,Adj Close,Volume
2020-09-03,333500.000000,339500.000000,329500.000000,339000.000000,338515.031250,776547
2020-09-04,322500.000000,335000.000000,322000.000000,328500.000000,328030.031250,1174337
2020-09-07,325500.000000,325500.000000,313500.000000,314500.000000,314050.062500,1308247
2020-09-08,316000.000000,318000.000000,305500.000000,311000.000000,310555.062500,989171
2020-09-09,303000.000000,307000.000000,300000.000000,304500.000000,304064.375000,925825
2020-09-10,309000.000000,311000.000000,305000.000000,307500.000000,307060.093750,834946
2020-09-11,302500.000000,307000.000000,301000.000000,306000.000000,305562.218750,517023
2020-09-14,307500.000000,308000.000000,300000.000000,303000.000000,302566.531250,608816
2020-09-15,304000.000000,314000.000000,303000.000000,312000.000000,311553.656250,797985
2020-09-16,311500.000000,312000.000000,306000.000000,307000.000000,306560.781250,696219
2020-09-17,302500.000000,304000.000000,299000.000000,300500.000000,300070.093750,823516
2020-09-18,299500.000000,302000.000000,296000.000000,298000.000000,297573.687500,750488
2020-09-21,297000.000000,301500.000000,292000.000000,292000.000000,291582.250000,656024
2020-09-22,290500.000000,295000.000000,282000.000000,284500.000000,284093.000000,864846
2020-09-23,290000.000000,298000.000000,285500.000000,296500.000000,296075.812500,984136
2020-09-24,291500.000000,295500.000000,287000.000000,294000.000000,293579.406250,848971
2020-09-25,296000.000000,297500.000000,289500.000000,295000.000000,294577.968750,648182
2020-09-28,297000.000000,302000.000000,296000.000000,298500.000000,298072.968750,724465
2020-09-29,303000.000000,303000.000000,294000.000000,296500.000000,296075.812500,765489
2020-10-05,297500.000000,299000.000000,289500.000000,298500.000000,298072.968750,906516
2020-10-06,299500.000000,307500.000000,296500.000000,305000.000000,304563.656250,868540
2020-10-07,302000.000000,305000.000000,299500.000000,305000.000000,304563.656250,534644
2020-10-08,307500.000000,307500.000000,300000.000000,301000.000000,300569.375000,756735
2020-10-12,303000.000000,303000.000000,291500.000000,292000.000000,291582.250000,914860
